City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,menongue,-14.6585,17.691,17.69,78,98,1.7,AO,1681254446
248,qena,26.1615,32.7183,19.31,27,39,3.78,EG,1681254447
249,that phanom,16.9364,104.7104,28.44,57,40,2.42,TH,1681254447
250,montlucon,46.3333,2.6,10.39,79,100,2.24,FR,1681254447
251,tahta,26.7693,31.5021,18.53,24,1,7.02,EG,1681254447
252,hue,16.4667,107.6,25.06,94,40,2.57,VN,1681254447
253,lagoa,39.05,-27.9833,14.12,81,91,3.64,PT,1681254293
254,deputatskiy,69.3,139.9,-20.32,98,100,1.34,RU,1681254279
255,kondagaon,19.6,81.6667,25.21,31,2,0.81,IN,1681254448
256,grand-santi,4.25,-54.3833,24.51,89,100,1.18,GF,1681254448
257,kushima,31.4583,131.2333,17.47,92,94,1.78,JP,1681254448
258,wewak,-3.5534,143.6268,24.22,93,100,1.77,PG,1681254449
259,torbay,47.6666,-52.7314,3.98,48,100,5.01,CA,1681254351
260,san cristobal,7.7669,-72.225,24.1,81,92,0.87,VE,1681254449
261,warah,27.4481,67.7978,26.2,30,30,1.8,PK,1681254450
262,margate,51.3813,1.3862,9.27,91,100,4.47,GB,1681254310
263,suzun,53.7841,82.3116,-4.23,72,39,2.53,RU,1681254450
264,vallenar,-28.5708,-70.7581,21.91,56,40,1.65,CL,1681254450
265,morondava,-20.2833,44.2833,24.91,85,5,3.57,MG,1681254450
266,adrar,20.5022,-10.0711,22.1,67,100,1.22,MR,1681254141
267,te anau,-45.4167,167.7167,11.35,97,100,2.06,NZ,1681254450
268,marzuq,14.4,46.4667,21.18,58,26,2.41,YE,1681254451
269,anloga,5.7947,0.8973,28.17,80,13,6.24,GH,1681254451
270,cherdyn,60.403,56.4787,1.2,95,100,2.72,RU,1681254451
271,barcelona,41.3888,2.159,15.63,75,0,3.6,ES,1681254451
272,krasnozerskoye,53.9828,79.2374,-2.76,63,78,4.26,RU,1681254451
273,moose factory,51.2585,-80.6094,2.34,91,100,4.76,CA,1681254452
274,pala,9.3642,14.9046,30.42,24,100,2.52,TD,1681254452
275,taiyuan,37.8694,112.5603,3.92,45,2,1.0,CN,1681254452
276,asfi,32.2994,-9.2372,17.45,65,0,6.58,MA,1681254452
277,fortuna,40.5982,-124.1573,13.85,65,11,2.24,US,1681254090
278,arlit,18.7369,7.3853,27.7,19,66,4.28,NE,1681254452
279,san patricio,28.017,-97.5169,25.65,57,30,6.93,US,1681254452
280,peterhead,57.5058,-1.7981,6.22,92,100,17.54,GB,1681254452
281,bahia honda,22.9036,-83.1592,24.81,73,89,2.97,CU,1681254452
282,severo-kurilsk,50.6789,156.125,-0.63,70,84,7.0,RU,1681253979
283,salalah,17.0151,54.0924,28.05,74,40,2.57,OM,1681254452
284,mount isa,-20.7333,139.5,22.87,46,91,0.0,AU,1681254453
285,benguela,-12.5763,13.4055,25.81,85,97,2.35,AO,1681254453
286,roebourne,-20.7833,117.1333,29.02,51,96,4.1,AU,1681254453
287,kerouane,9.2667,-9.0167,26.14,57,89,1.82,GN,1681254453
288,acarau,-2.8856,-40.12,25.18,80,100,4.05,BR,1681254453
289,cortez,37.3489,-108.5859,24.46,14,0,5.14,US,1681254453
290,broken hill,-31.95,141.4333,18.86,60,0,9.56,AU,1681254454
291,gat,31.61,34.7642,13.55,100,9,2.77,IL,1681254314
292,olafsvik,64.8945,-23.7142,4.26,89,100,4.84,IS,1681254186
293,staroleushkovskaya,45.9906,39.7631,13.3,73,100,4.33,RU,1681254454
294,weilburg,50.4833,8.25,9.51,82,100,1.52,DE,1681254454
295,barabai,-2.5833,115.3833,24.23,95,29,0.27,ID,1681254454
296,stettler,52.3168,-112.7186,0.97,99,100,3.93,CA,1681254454
297,nanakuli,21.3906,-158.1547,28.97,54,40,5.66,US,1681254454
298,santa maria,-29.6842,-53.8069,25.61,61,20,0.51,BR,1681253841
299,laguna,38.421,-121.4238,24.69,48,0,5.66,US,1681254166
300,oksfjord,70.2396,22.3479,3.1,84,11,4.54,NO,1681254455
301,virginia beach,36.8529,-75.978,21.04,45,20,4.12,US,1681254430
302,kardla,58.9978,22.7492,10.03,80,99,3.5,EE,1681254455
303,port hawkesbury,45.6169,-61.3485,7.66,84,45,1.79,CA,1681254455
304,wanaka,-44.7,169.15,12.28,93,100,0.45,NZ,1681254455
